,average_ensemble,greedy (mean),greedy (stddev)
total_return,0.6256394811854211,1.7421679530451657,0.7466128223593416
annualized_return,0.07188037556590099,0.15006374799794917,0.04320236075760954
hit_ratio,0.29308390022675734,0.3050113378684807,0.016847691068520965
max_drawdown,-0.4987552148201196,-0.531632475549135,0.04570128014764269
volatility,0.3796538718213328,0.3795910513899884,0.014434934677483179
sharpe_ratio,0.1893313380976878,0.3955666488348072,0.114873676154867
calmar_ratio,0.1441195468839865,0.28600599045355457,0.0931193837193153
