,average_ensemble,greedy (mean),greedy (stddev)
total_return,0.3779785953177486,5.103613932188481,0.9586969640729218
annualized_return,0.04686765501626433,0.2929369377068847,0.0288543684643858
hit_ratio,0.18820861678004536,0.26276643990929704,0.0018149090978470494
max_drawdown,-0.6724075263566966,-0.5987045275032249,0.04160894735379512
volatility,0.3009491263029955,0.36786169548103914,0.002388916245286117
sharpe_ratio,0.15573281634676683,0.7965627150972437,0.08066419258779328
calmar_ratio,0.06970126475265258,0.49400313043390154,0.0769972242113988
