Date,target,model_0,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,model_12,model_13,model_14,model_15,model_16,model_17,model_18,model_19,model_20,model_21,model_22,model_23,model_24,model_25,model_26,model_27,model_28,model_29,model_30,model_31,model_32,model_33,model_34,model_35,model_36,model_37,model_38,model_39,model_40,model_41,model_42,model_43,model_44,model_45,model_46,model_47,model_48,model_49,model_50,model_51,model_52,model_53,model_54,model_55,model_56,model_57,model_58,model_59,mean
2017-12-06 00:00:00+00:00,-0.0344635141476632,-0.0718197730541218,-0.0700230854284393,-0.0891102591733832,-0.0563773566257874,-0.0880075570008671,-0.0577986463212406,-0.0441408441371378,-0.0528658744656592,-0.0444737512520283,-0.060843291065267105,-0.0505025802407225,-0.1030354539993871,-0.0364230520347765,-0.0582129785668465,-0.001645068416764102,-0.046638536623807,-0.0598710562861042,-0.1004103826588056,-0.0359542491844851,-0.0686122780486644,-0.0272110619877353,-0.0446150753294769,-0.0157865545957373,-0.019637588910159202,-0.0209482527383646,-0.0390076915863131,-0.040118817048213504,-0.0237022939986309,-0.0188413072870251,-0.0385878374065552,-0.0318438711491295,-0.039175408637166,-0.0405956688194721,-0.0352904003888938,-0.0026589516823274026,-0.038241546620754005,-0.032838474441213,-0.027144611593703204,-0.0425465026408883,-0.042308872288145304,-0.076542898596137,-0.08936576561804191,-0.0408782233822651,-0.020821341844973695,-0.009986745486193195,-0.0386025313669257,-0.004384322124555799,-0.008777441906912903,-0.08610960271836379,-0.0768159067642944,-0.0506709524363053,-0.045298672059069206,-0.0376901019423917,-0.0832889238798568,-0.014190902810028001,-0.0860955639027233,-0.07121254748161421,-0.0733974551558111,-0.019861274039366,-0.055043481955723006,-0.0456086116715717
2017-12-07 00:00:00+00:00,0.0209159543644503,-0.0492103325268205,-0.04754192607889289,-0.06656963052435469,-0.0326455922595711,-0.0658004691738838,-0.0342905409826324,-0.0203853445052847,-0.0294154053858354,-0.0206495831746463,-0.03756386292895279,-0.027390868024028802,-0.0813664144121159,-0.012271298087487701,-0.035130269373196896,-0.023394621647738402,-0.022798388318595802,-0.037172157696784794,-0.0790840359422749,-0.012693731000575598,-0.04549480338694639,-0.0069893357499313,-0.025061477171707803,-0.004672546154770099,-0.0006591426821931992,-0.0014845250261451004,-0.019305998363193497,-0.0206760458146814,-0.003536785153702801,-0.0016501830914199996,-0.0194384084961164,-0.0119868004739235,-0.0194222207273038,-0.020639792967160796,-0.015297829258975198,-0.0184629742592182,-0.0182034852944782,-0.0126243271534506,-0.006879220148906101,-0.0230540969061877,-0.022760293748874897,-0.0568213949184557,-0.0700810192982437,-0.019986369317063202,-0.0438382227341994,-0.032580938117067804,-0.0175780752083738,-0.0268591919046422,-0.0131532891559107,-0.06674692051931519,-0.0570673132985622,-0.030112545705002002,-0.024514001014497997,-0.0166387968862487,-0.0637743808881191,-0.0077118724489119005,-0.0666283717692678,-0.05122546741213109,-0.05348244950215819,-0.0017963576744710018,-0.0346284485400037,-0.024322358510742003
2017-12-08 00:00:00+00:00,-0.0205729871103013,-0.0667157288656158,-0.0657162234437238,-0.0841892712155635,-0.0505525479032935,-0.083251101454595,-0.053120100446164595,-0.039162249818627703,-0.0472010192733546,-0.03917117482192,-0.05503717216397801,-0.0454813420432503,-0.0976593799078616,-0.0308385448864525,-0.05354270884673851,-0.0032149001220922006,-0.0407493812551573,-0.054806546281031696,-0.0949225371429677,-0.0307796778434608,-0.0648837295196097,-0.0273249419945995,-0.045126050954742605,-0.015925529012954402,-0.0200249539294178,-0.0224544537617891,-0.0395544752292704,-0.0407847014809523,-0.0241493498657308,-0.0190690291087083,-0.039418796189858996,-0.0322886680277612,-0.039450033701382003,-0.0407043764513217,-0.0356121873388573,-0.0026679113564875012,-0.038389477459097,-0.0329111395339761,-0.0272401544633228,-0.0431289390478293,-0.042924328600011497,-0.0762416507306301,-0.0892334172251993,-0.0401882454098659,-0.022365963303614702,-0.0112936421979473,-0.0377782096804193,-0.005746847598637701,-0.007758486372611801,-0.0859850958141828,-0.0764600284707604,-0.0500971828417001,-0.0445921648535458,-0.0368699481751643,-0.0830517130831717,-0.0129687893584337,-0.0858027978745958,-0.0707071042741365,-0.0729235433896155,-0.0188073556079261,-0.05450869803286271,-0.0438047168768994
2017-12-09 00:00:00+00:00,-0.0579247018815319,-0.12264032967768,-0.1223071427255796,-0.1412075773130414,-0.10699101258006119,-0.13965002282965572,-0.1090482990209905,-0.0953197751351601,-0.1034818375788736,-0.0953780368047011,-0.1117246520537479,-0.1016714604096928,-0.15463858861347868,-0.08650743102874969,-0.1090857183295476,-0.0522950347679663,-0.0966019196299171,-0.1114024194588158,-0.15191861203447599,-0.0872562049647472,-0.12072399576173,-0.0853541214072373,-0.10354368607332809,-0.0733069459349154,-0.077921832421601,-0.0805349797829097,-0.09784257328513399,-0.0985353151995097,-0.0818600692354148,-0.07676706868188049,-0.0973051311953916,-0.09024102494006589,-0.0971876384441709,-0.0989205595834628,-0.0938384164458829,-0.0601427168550717,-0.09644458403979231,-0.0909826252262364,-0.08524661360104599,-0.1016596335815996,-0.1010749811206984,-0.1362596977566832,-0.14953182240757368,-0.09942610801383919,-0.035519163823865496,-0.046827841128861,-0.09696157153340629,-0.0524982235522556,-0.0662895653446792,-0.1462117797146631,-0.1364878004329393,-0.10954105121113489,-0.1039274763390731,-0.0960414055312716,-0.1432284138575525,-0.0716250158741236,-0.14603728552968182,-0.130619270168377,-0.13288594963128392,-0.0775863188803676,-0.1140448430667157,-0.1016685198595385
2017-12-10 00:00:00+00:00,-0.0146550640121029,-0.1338951632670323,-0.1336006584066731,-0.1531558017148785,-0.1178082211515407,-0.1518882577351773,-0.118608179496905,-0.10505714855496069,-0.11383446357205369,-0.10552627771581939,-0.1212127261497883,-0.1120434582979265,-0.167336900183021,-0.0960979032118317,-0.1191915296203768,-0.059073744140516,-0.1062956742360521,-0.1216284492929928,-0.165084380478876,-0.0967258098008994,-0.1304364290369855,-0.1029808995796051,-0.1225429373062745,-0.08910017137260459,-0.0948489844521602,-0.0974860480637694,-0.116233000885161,-0.11581316167123169,-0.0982138722696816,-0.0931345380935142,-0.1149812008759821,-0.1077021356027152,-0.1142604768920702,-0.11706187462736689,-0.112472044162146,-0.0746481325490023,-0.1143663628114656,-0.1087055307436525,-0.102562089383357,-0.1208948625880659,-0.1192009965830439,-0.1585288175372602,-0.172598576292297,-0.11943036462418309,-0.0516703735313602,-0.0636291025134168,-0.1168555565822865,-0.0696975284847529,-0.0842460891668517,-0.1690670905121894,-0.15878885030529918,-0.130149333103931,-0.12423309884764419,-0.11589146991677089,-0.16595379751772119,-0.09004913147820649,-0.1689633655299245,-0.1526172138605389,-0.1550322154565453,-0.0963184217009127,-0.1349299434472462,-0.1177393472831086
2017-12-11 00:00:00+00:00,0.0261144276466365,-0.099195579425514,-0.09950960713848579,-0.1181369749826328,-0.0838511431360663,-0.1183093925929143,-0.0829401808014295,-0.0705398979154073,-0.0795390319633634,-0.0702868586242431,-0.08591357522900929,-0.0777012335952632,-0.13338314054447611,-0.06157167580727149,-0.0850210973989272,-0.023645232021260603,-0.0720417378024199,-0.0870895865611594,-0.1315086864639538,-0.06221602266095809,-0.0930616480157666,-0.07500991061854359,-0.09591839164341649,-0.06031180539513589,-0.0665530931364214,-0.068766743097134,-0.0887371094077981,-0.0869355490232035,-0.068888511076291,-0.0643540636877859,-0.0859759212697955,-0.07959667855383909,-0.0850868897032745,-0.0896732399096535,-0.0857409487542696,-0.044280622766977695,-0.086620059259024,-0.08118112433408779,-0.07454163650315769,-0.0942258585060258,-0.0911959662424907,-0.1319838531064619,-0.1462077315774237,-0.09237135098126599,-0.023854096479505902,-0.0358969078452413,-0.0898429422819778,-0.042123366209991395,-0.05671954557777539,-0.14262309531278902,-0.1322654023961765,-0.10322635017296049,-0.09727402640965739,-0.0888657699140772,-0.13951999605663892,-0.0628103464768951,-0.1426254972540589,-0.12608687842459382,-0.12854093137674671,-0.06906844780706929,-0.10807910699583138,-0.0878173678037664
2017-12-12 00:00:00+00:00,-0.0170666589046687,-0.1075095395734163,-0.1078882422932061,-0.1256180634989097,-0.0928991051888785,-0.1263530785600013,-0.0912881174566686,-0.0792066763223476,-0.0886382161626167,-0.07919151192964441,-0.0944708079842867,-0.086168557415393,-0.1407937531658213,-0.0708965891209831,-0.094659090712481,-0.033749729916059304,-0.0808388331396734,-0.0955407627526689,-0.1384062263978694,-0.0709359758322324,-0.0999714115576486,-0.0875902446749318,-0.1090182439857152,-0.07323149849948829,-0.0791441868114766,-0.0801989771871556,-0.1012316845431786,-0.0984143642827053,-0.080484556287325,-0.0766547838214044,-0.0968683086481105,-0.092143226366014,-0.0966119388144232,-0.1027506681746924,-0.0990971690521408,-0.0562833050519104,-0.0994720043429191,-0.0942785560526331,-0.0872651770890654,-0.1071284960413301,-0.1033287470374729,-0.14169201444097979,-0.15548530178515418,-0.10323338438000369,-0.0367767055387383,-0.048445044189956196,-0.1008247903013835,-0.0545224035582788,-0.0686318023369244,-0.1520128594050122,-0.14195693332827158,-0.1137822041068227,-0.10800497758468659,-0.0998669909743365,-0.1490034907617806,-0.0746430083142598,-0.15204797158945932,-0.13598949036343538,-0.138376508259149,-0.0806688698120601,-0.1185059633210996,-0.0983448523349449
2017-12-13 00:00:00+00:00,-0.052826591293936,-0.153577495367033,-0.1543331416433991,-0.17165409085440209,-0.1395568297149355,-0.1727920125558632,-0.1370130207648448,-0.1258852026484272,-0.1345334075795317,-0.1253449228087344,-0.1403827807078887,-0.1323430895019422,-0.1869227428820874,-0.1165101359935505,-0.1414667572586254,-0.0786914790890579,-0.1267577473416222,-0.141702624923405,-0.1850837413043212,-0.11761150752571081,-0.1450353169893676,-0.1396824256224762,-0.1620442954918627,-0.12485879520287821,-0.1307360210098241,-0.1301103193863547,-0.1534980789935097,-0.1499244457265189,-0.1309319216339519,-0.1276182812143104,-0.1478081598615359,-0.1440201955734327,-0.1481059453768591,-0.1554382406715787,-0.1521247037934933,-0.10621986552436849,-0.15205874782226209,-0.1466923960530786,-0.1389079347829012,-0.1600428372125867,-0.1554311998457644,-0.1925527114530835,-0.20651642924932978,-0.1536170482414605,-0.0863143119901742,-0.0981576022591938,-0.1511718108527702,-0.1042984448679523,-0.11860115771884691,-0.2030266646427743,-0.19279396327877998,-0.1642917685084155,-0.1584345262217955,-0.1502148797913595,-0.19997239582114548,-0.12469167913134421,-0.20304209233463208,-0.1867657738830505,-0.1891920631669758,-0.1307810615867246,-0.1690803583946005,-0.1477828266941451
2017-12-14 00:00:00+00:00,-0.1049907731520314,-0.25215935352924057,-0.2539677741908648,-0.2705179442270081,-0.2373465485160795,-0.2725181057965987,-0.2352653835184369,-0.2243775826674964,-0.2325986107420165,-0.22343101224441692,-0.2372724320191574,-0.23024940201214258,-0.2870805763290055,-0.213185772999535,-0.2394151421315008,-0.1740115969361245,-0.2243369169789197,-0.2394741729697573,-0.28528352456956396,-0.2161002566638984,-0.241776157029026,-0.2488925432135798,-0.27322024482274954,-0.2319825036968062,-0.2389663984443843,-0.2359070705935583,-0.26342888713423973,-0.25870980888110207,-0.23752331308174748,-0.2346054406100028,-0.2563060512840245,-0.252871221712067,-0.2564479439285744,-0.2654869863784154,-0.2629555472645164,-0.2103747026184877,-0.2619933446009356,-0.25614098356964066,-0.24717988368957158,-0.2710505335677222,-0.2650413035495789,-0.30274747011864434,-0.317391709293673,-0.26184740725080147,-0.1911975509635636,-0.2036262753257327,-0.2593037247037827,-0.21010720546809208,-0.2250663850968559,-0.31375551897344056,-0.30298632638084877,-0.27303834238782576,-0.2669126904386767,-0.25833146493442494,-0.3105870933882072,-0.2316023013718876,-0.31381935973185127,-0.296720421532657,-0.2992923077023984,-0.2379318283457558,-0.2780717051964956,-0.2528965011219685
2017-12-15 00:00:00+00:00,-0.0345397074174542,-0.28649588531939674,-0.2892777444369687,-0.3043972024825428,-0.2708049345265833,-0.3096123333484582,-0.2664076526530838,-0.25704269541824387,-0.2658878250975698,-0.2561027064926717,-0.2680589845493594,-0.2632962599958556,-0.3257946530923601,-0.24440829645267143,-0.2732044956533755,-0.1999883234223901,-0.2573382740564826,-0.2730834549796174,-0.3247639141964525,-0.24947673725886588,-0.2704894470792401,-0.3044726849612336,-0.3333825964397063,-0.2823647463602451,-0.29266786042165993,-0.28553781968371733,-0.3208865820184001,-0.31312458926630593,-0.2876496191279928,-0.285504841901765,-0.3112126107526744,-0.3082170067520785,-0.3090878644754843,-0.32287160021205924,-0.322288382031237,-0.2548817957208395,-0.3186716964705405,-0.3122462810069777,-0.3012891076035099,-0.331417731335018,-0.321667789030869,-0.3621531462544475,-0.3783193435271727,-0.3167881765613345,-0.2386887276628199,-0.2523516670055031,-0.314116731943336,-0.2596981397049989,-0.2759845226719501,-0.3743046039243193,-0.3624317474419774,-0.3291445850390428,-0.3224728133303033,-0.3130938100031505,-0.3709569926363665,-0.2837527445606353,-0.3746302289861144,-0.3557024478247212,-0.3586080346945807,-0.2905382285471435,-0.334736639738679,-0.3007308059690517
