,average_ensemble,greedy (mean),greedy (stddev)
total_return,-0.11178075954003486,-0.018606712230111188,0.00327068530782654
annualized_return,-0.009076760921809424,-0.0014441193780360972,0.0002559758198278459
hit_ratio,0.25427350427350426,0.2569352869352869,0.00013705704713457613
max_drawdown,-0.2581311938036134,-0.21292635676131874,4.621115798523736e-16
volatility,0.05622917755357413,0.05765304466922186,1.7481642439378802e-05
sharpe_ratio,-0.1614243941797166,-0.025047376452456284,0.004433708817910454
calmar_ratio,-0.03516336320326724,-0.006782248097425028,0.0012021800575622642
