,average_ensemble,greedy (mean),greedy (stddev)
total_return,2.6932927473294335,2.143215945781013,0.44865840246091293
annualized_return,0.07988442739772861,0.06908330466250708,0.00902246070698357
hit_ratio,0.12745098039215685,0.2793090569561158,0.002685993928747217
max_drawdown,-0.3044444251635504,-0.3225533831911955,0.013932341648399807
volatility,0.13093199610342296,0.14257130422809652,0.0012184895606684614
sharpe_ratio,0.6101215117397892,0.48474116581045057,0.06442900370041882
calmar_ratio,0.2623941212088674,0.2145727244074366,0.03005318543035695
