,average_ensemble,greedy (mean),greedy (stddev)
total_return,0.7456867497202377,0.18148310999639766,0.09176915432674175
annualized_return,0.04059877007426982,0.011780389515938081,0.005627597159093567
hit_ratio,0.2684240362811791,0.2574716553287982,0.003647447093647124
max_drawdown,-0.28606721965533477,-0.299978746320136,0.013097339449389036
volatility,0.10635566893771209,0.10701805313631996,0.0007951422615836504
sharpe_ratio,0.38172643244853044,0.10999506732380744,0.05223732958307394
calmar_ratio,0.14192038543662863,0.03952177256278336,0.019063927666169555
