,average_ensemble,greedy (mean),greedy (stddev)
total_return,0.8862813656690898,1.1288224766995199,0.3124746653169425
annualized_return,0.04046003840890622,0.0476718287160045,0.009864565761305564
hit_ratio,0.26884920634920634,0.27674603174603174,0.01649313835162414
max_drawdown,-0.23921051217092126,-0.26971164993411006,0.045048207233321313
volatility,0.11975126918324507,0.12059207881822978,0.0031504048736779346
sharpe_ratio,0.3378673034938252,0.39426008721229294,0.07628521510943984
calmar_ratio,0.16913988453817036,0.18586959792420432,0.060739859037180606
