,average_ensemble,greedy (mean),greedy (stddev)
total_return,3.3501806841777597,3.410778922166902,0.5322084887755205
annualized_return,0.09033324115092789,0.09077845699249305,0.007786770824106449
hit_ratio,0.21872082166199813,0.19128851540616246,0.012319291073456366
max_drawdown,-0.35963022237405956,-0.3373190553419201,0.016935526663330962
volatility,0.1420543773163909,0.13711666778307,0.002228762230591812
sharpe_ratio,0.6359060724312141,0.6621067863409461,0.056450454751235356
calmar_ratio,0.2511836757061264,0.26959170553219775,0.024817102633611515
