,average_ensemble,greedy (mean),greedy (stddev)
total_return,3.2155029594160656,3.621425503710855,0.8208140348767464
annualized_return,0.0883180872593452,0.09330108532742652,0.011129520178758985
hit_ratio,0.23319327731092437,0.22277077497665734,0.009184762408572961
max_drawdown,-0.30122761595141156,-0.28636805594531584,0.014285400816177896
volatility,0.16903607008380567,0.1677232754786184,0.002000551173341048
sharpe_ratio,0.5224807179648602,0.5560222311652718,0.06399374846161603
calmar_ratio,0.29319385933589515,0.3277434481213862,0.05040154716575333
