,average_ensemble,greedy (mean),greedy (stddev)
total_return,0.6256394811854211,5.373427489981715,0.9130601149308871
annualized_return,0.07188037556590099,0.3012468189955366,0.02682576106635548
hit_ratio,0.29308390022675734,0.2871655328798186,0.0021216057398124374
max_drawdown,-0.4987552148201196,-0.4677193453030891,0.02167562905681298
volatility,0.3796538718213328,0.3698835047912041,0.002633853656091984
sharpe_ratio,0.1893313380976878,0.8143961126403186,0.07185793768735271
calmar_ratio,0.1441195468839865,0.6469453194813168,0.07789714835155487
