,average_ensemble,greedy (mean),greedy (stddev)
total_return,0.4934945707184146,0.5382508806099093,0.1148490561064521
annualized_return,0.025386813281476517,0.0271115467849011,0.004827095583273319
hit_ratio,0.20932539682539683,0.248015873015873,0.003434460193078125
max_drawdown,-0.31386484938516296,-0.35822734539613355,0.022214120275699727
volatility,0.10558278748435071,0.11375451474080206,0.0006933031763039904
sharpe_ratio,0.2404446206275744,0.23839198156777278,0.04276141847094681
calmar_ratio,0.08088453782322973,0.07661051646663813,0.017325395571172356
