,average_ensemble,greedy (mean),greedy (stddev)
total_return,0.06993578110123377,0.06779815601937224,0.052669680976702604
annualized_return,0.005213437454597569,0.0049725169166881765,0.003797664981758713
hit_ratio,0.26282051282051283,0.2703296703296703,0.0044167514646363685
max_drawdown,-0.17676896271475084,-0.20197525509214428,0.013166436233020965
volatility,0.06014266729821281,0.06123110292316037,0.0005254199560681701
sharpe_ratio,0.08668450683683745,0.0812152550105212,0.061892234111583545
calmar_ratio,0.02949294590255874,0.0251705484778134,0.02012431969198279
