,average_ensemble,greedy (mean),greedy (stddev)
total_return,0.3779785953177486,2.3344072297922525,0.5792852867706475
annualized_return,0.04686765501626433,0.18554347867566492,0.029416912241339455
hit_ratio,0.18820861678004536,0.32045351473922906,0.0036193203995879917
max_drawdown,-0.6724075263566966,-0.54615105554029,0.01927905277221087
volatility,0.3009491263029955,0.385067024069958,0.003858121301538004
sharpe_ratio,0.15573281634676683,0.4814057191466749,0.07346398572808882
calmar_ratio,0.06970126475265258,0.3409541369236935,0.05992823092598419
