,average_ensemble,greedy (mean),greedy (stddev)
total_return,3.3501806841777597,3.5695275945099287,0.8846620648140775
annualized_return,0.09033324115092789,0.0924316786066158,0.01188539414272425
hit_ratio,0.21872082166199813,0.28012138188608776,0.00361893006065575
max_drawdown,-0.35963022237405956,-0.3435135777886493,0.017001555145424164
volatility,0.1420543773163909,0.1432649140547192,0.00102010201389561
sharpe_ratio,0.6359060724312141,0.6453409598308529,0.08407966811499767
calmar_ratio,0.2511836757061264,0.2704547839565112,0.042021266604413875
