,average_ensemble,greedy (mean),greedy (stddev)
total_return,0.3779785953177486,1.830814135041594,1.1288725770382593
annualized_return,0.04686765501626433,0.14877263153344975,0.06716187162008079
hit_ratio,0.18820861678004536,0.27696145124716554,0.005741217175176069
max_drawdown,-0.6724075263566966,-0.721387221463579,0.05354134910895369
volatility,0.3009491263029955,0.37879228115813063,0.0055776970306706955
sharpe_ratio,0.15573281634676683,0.3930029904291007,0.17767091476024668
calmar_ratio,0.06970126475265258,0.20920607314408757,0.09699630663245179
