,average_ensemble,greedy (mean),greedy (stddev)
total_return,0.4905348349510197,0.15171800433539476,0.1262139279118166
annualized_return,0.028919932895449252,0.009727259649723603,0.00807145086722643
hit_ratio,0.2684240362811791,0.26482993197278915,0.013692728320929666
max_drawdown,-0.2739765579098182,-0.29769275537087847,0.02676917139693959
volatility,0.10839189420485415,0.10716097905521516,0.003699923815578697
sharpe_ratio,0.26680899994968554,0.09027151404753435,0.07438527190506437
calmar_ratio,0.1055562312194918,0.03432489446786258,0.028567014311516793
