,average_ensemble,greedy (mean),greedy (stddev)
total_return,0.4934945707184146,2.051137540460539,0.11855822259640157
annualized_return,0.025386813281476517,0.07215943592367234,0.0026315642918977216
hit_ratio,0.20932539682539683,0.2781746031746032,0.0006908922756539717
max_drawdown,-0.31386484938516296,-0.27044905606022457,0.012384886003147204
volatility,0.10558278748435071,0.11616245684748167,0.0001961463331222332
sharpe_ratio,0.2404446206275744,0.6212020397237721,0.022839265919277717
calmar_ratio,0.08088453782322973,0.2675785389722932,0.018494650058190443
