,average_ensemble,greedy (mean),greedy (stddev)
total_return,3.3501806841777597,3.8927115076081087,0.22337016747629193
annualized_return,0.09033324115092789,0.09783346747725183,0.002967460439435802
hit_ratio,0.21872082166199813,0.24819794584500468,0.0007126819659107867
max_drawdown,-0.35963022237405956,-0.31338563152419696,0.0021775003741101107
volatility,0.1420543773163909,0.14239024164808345,0.00014908092152703345
sharpe_ratio,0.6359060724312141,0.6870890672757994,0.0211204806728634
calmar_ratio,0.2511836757061264,0.3122159053958825,0.010290303803997742
