,average_ensemble,greedy (mean),greedy (stddev)
total_return,2.6932927473294335,2.456366165319954,0.25826963257423813
annualized_return,0.07988442739772861,0.07551595736059594,0.00470580573271502
hit_ratio,0.12745098039215685,0.17405228758169933,0.004523363847157872
max_drawdown,-0.3044444251635504,-0.3044444251635501,1.65419505046575e-16
volatility,0.13093199610342296,0.13505567929810203,0.0008270710457828472
sharpe_ratio,0.6101215117397892,0.5591323720591427,0.03446116282176644
calmar_ratio,0.2623941212088674,0.24804513112706247,0.015457027108271116
