,average_ensemble,greedy (mean),greedy (stddev)
total_return,0.06993578110123377,0.0571399119367042,0.09876258162718606
annualized_return,0.005213437454597569,0.003971964054244239,0.007227328340729434
hit_ratio,0.26282051282051283,0.2488766788766789,0.00433130284417401
max_drawdown,-0.17676896271475084,-0.19757108492852724,0.040362653732540665
volatility,0.06014266729821281,0.0545139096919903,0.0007329571929347312
sharpe_ratio,0.08668450683683745,0.07299754630427142,0.13304954672964414
calmar_ratio,0.02949294590255874,0.025848308617719463,0.04004880689374944
