,average_ensemble,greedy (mean),greedy (stddev)
total_return,0.8862813656690898,1.4615406487503457,0.45592443674928895
annualized_return,0.04046003840890622,0.0568386746514715,0.012368344164658953
hit_ratio,0.26884920634920634,0.28387896825396824,0.0033708267873079297
max_drawdown,-0.23921051217092126,-0.2772775930235849,0.058097921202187486
volatility,0.11975126918324507,0.12164562333920939,0.0015180819810775017
sharpe_ratio,0.3378673034938252,0.4677466748216559,0.10374184276764263
calmar_ratio,0.16913988453817036,0.21868070511618531,0.07768914153024804
