,average_ensemble,greedy (mean),greedy (stddev)
total_return,0.7456867497202377,0.6641765565815095,0.29975198800181635
annualized_return,0.04059877007426982,0.035873212582336285,0.01389890754084997
hit_ratio,0.2684240362811791,0.2823809523809524,0.004278659804866826
max_drawdown,-0.28606721965533477,-0.22959217716944472,0.03595518233837783
volatility,0.10635566893771209,0.10922472107431724,0.0013870764906954397
sharpe_ratio,0.38172643244853044,0.3283150517567096,0.12685636303040956
calmar_ratio,0.14192038543662863,0.1642522796935731,0.0749373843739776
