,average_ensemble,greedy (mean),greedy (stddev)
total_return,0.4905348349510197,0.5092457161011624,0.2407266157337672
annualized_return,0.028919932895449252,0.028854834861824295,0.012872007726849061
hit_ratio,0.2684240362811791,0.2754761904761905,0.0031607244405685215
max_drawdown,-0.2739765579098182,-0.25246996765672974,0.041238965989918004
volatility,0.10839189420485415,0.10793901317951267,0.0012488098658379385
sharpe_ratio,0.26680899994968554,0.2670197608504881,0.11986422650548634
calmar_ratio,0.1055562312194918,0.1195069368865779,0.054539326296452646
