,average_ensemble,greedy (mean),greedy (stddev)
total_return,0.4905348349510197,0.36597067070735206,0.019441488036943375
annualized_return,0.028919932895449252,0.022519156202718483,0.0010429906098567512
hit_ratio,0.2684240362811791,0.28858276643990927,0.0003787594804646154
max_drawdown,-0.2739765579098182,-0.2702767201980933,0.003963579172454685
volatility,0.10839189420485415,0.1123012089863291,5.761526860556684e-05
sharpe_ratio,0.26680899994968554,0.20052423760247012,0.009274306849160698
calmar_ratio,0.1055562312194918,0.08335387777547482,0.004355914940259708
