,average_ensemble,greedy (mean),greedy (stddev)
total_return,-0.11178075954003486,0.06115609666763554,0.08631774509152401
annualized_return,-0.009076760921809424,0.0043449980477298,0.006201466867475155
hit_ratio,0.25427350427350426,0.2517826617826618,0.011934211094163134
max_drawdown,-0.2581311938036134,-0.20899574037349888,0.020332458485906604
volatility,0.05622917755357413,0.05757856023539668,0.0015562697686556685
sharpe_ratio,-0.1614243941797166,0.07617019969167205,0.10849848503670943
calmar_ratio,-0.03516336320326724,0.021788768632868133,0.031135270252673854
