,average_ensemble,greedy (mean),greedy (stddev)
total_return,-0.11178075954003486,-0.046751397814988736,0.10483654942394402
annualized_return,-0.009076760921809424,-0.004109851280860149,0.008525395901038058
hit_ratio,0.25427350427350426,0.2512210012210012,0.004424339665932463
max_drawdown,-0.2581311938036134,-0.25066418328401746,0.052510125287619086
volatility,0.05622917755357413,0.055060175222442255,0.0007957832954533031
sharpe_ratio,-0.1614243941797166,-0.0751359584958199,0.15579139203871573
calmar_ratio,-0.03516336320326724,-0.010653370085968289,0.034331291309609095
