,average_ensemble,greedy (mean),greedy (stddev)
total_return,0.8862813656690898,1.7361992368791193,0.06788158713727778
annualized_return,0.04046003840890622,0.06491268429178296,0.0016361114901770064
hit_ratio,0.26884920634920634,0.29048611111111117,0.00040468408838037836
max_drawdown,-0.23921051217092126,-0.34448719396291394,0.012946813464219815
volatility,0.11975126918324507,0.11937915823481653,0.000207212951217059
sharpe_ratio,0.3378673034938252,0.5437499185050004,0.01357896902155923
calmar_ratio,0.16913988453817036,0.1888295608716132,0.011102254754397623
