,average_ensemble,greedy (mean),greedy (stddev)
total_return,0.6256394811854211,4.1357159073803915,1.7884425381709277
annualized_return,0.07188037556590099,0.2535589874519868,0.06499949507894451
hit_ratio,0.29308390022675734,0.28156462585034014,0.004886397709422289
max_drawdown,-0.4987552148201196,-0.5566618990161125,0.08744554382376765
volatility,0.3796538718213328,0.36750519052245534,0.005603040360844692
sharpe_ratio,0.1893313380976878,0.6903391658596142,0.17816234328995237
calmar_ratio,0.1441195468839865,0.479349076562397,0.17963339628548528
