,average_ensemble,greedy (mean),greedy (stddev)
total_return,0.4934945707184146,2.1570508133435276,0.7993901338137569
annualized_return,0.025386813281476517,0.07259408827505572,0.01633666817570913
hit_ratio,0.20932539682539683,0.28517857142857145,0.004319567937950731
max_drawdown,-0.31386484938516296,-0.22416472867753512,0.03778803643799662
volatility,0.10558278748435071,0.11937147081302893,0.0014279586393776836
sharpe_ratio,0.2404446206275744,0.6086059792840348,0.13894714601934943
calmar_ratio,0.08088453782322973,0.33572317030266313,0.0995880782810683
