,average_ensemble,greedy (mean),greedy (stddev)
total_return,2.6932927473294335,3.4726150558095936,0.19211925491601833
annualized_return,0.07988442739772861,0.09206009105191593,0.0027244118976015486
hit_ratio,0.12745098039215685,0.26139122315592905,0.0009052623449890405
max_drawdown,-0.3044444251635504,-0.30444442516355014,9.550499576785472e-17
volatility,0.13093199610342296,0.13889253431407106,0.00028595347471292
sharpe_ratio,0.6101215117397892,0.6628341463957335,0.02018733962741954
calmar_ratio,0.2623941212088674,0.3023871795401097,0.008948798770540658
