,average_ensemble,greedy (mean),greedy (stddev)
total_return,0.06993578110123377,0.13278988918749046,0.009476985172186819
annualized_return,0.005213437454597569,0.00963467010226581,0.0006501856573495417
hit_ratio,0.26282051282051283,0.26135531135531137,0.00043168912160350734
max_drawdown,-0.17676896271475084,-0.19038297610200378,0.0014669524043661715
volatility,0.06014266729821281,0.060854681295156636,5.0512285979782905e-05
sharpe_ratio,0.08668450683683745,0.15832845079509023,0.010766128392620035
calmar_ratio,0.02949294590255874,0.05061622408173009,0.0035338972613225854
