,average_ensemble,greedy (mean),greedy (stddev)
total_return,0.7456867497202377,0.34104742083149775,0.03568211459938638
annualized_return,0.04059877007426982,0.021158086468345536,0.0019374865575549174
hit_ratio,0.2684240362811791,0.2778231292517007,0.0005298558478706556
max_drawdown,-0.28606721965533477,-0.35917041644421516,0.01239768672865175
volatility,0.10635566893771209,0.10668559284622693,0.00016951262507773642
sharpe_ratio,0.38172643244853044,0.19830677277472966,0.01800205940971661
calmar_ratio,0.14192038543662863,0.059137457133666596,0.00728692190179653
